Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Quais as suas especialidades?;Você já tem equipe formada?;Time;Selecionado
2018.2;18/10/2018 20:37:02;83;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Cientista de Dados;Sim;22;1
2018.2;18/10/2018 20:37:49;84;F;Escola Politécnica (Poli);Engenharia da Computação;5° ano ou mais;1;Desenvolvedor;Sim;23;1
2018.2;18/10/2018 20:39:37;85;F;Faculdade de Arquitetura e Urbanismo (FAU);Bacharelado em Design;5° ano ou mais;2;Designer;Não;0;1
2018.2;18/10/2018 20:40:15;86;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Economia;4° ano;1;Finanças;Sim;23;0
2018.2;18/10/2018 20:44:03;87;M;Escola Politécnica (Poli);Engenharia de Materiais;2° ano;0;Cientista de Dados;Sim;26;0
2018.2;18/10/2018 20:45:00;88;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4° ano;1;Desenvolvedor;Não;0;0
2018.2;18/10/2018 20:45:37;89;M;Escola Politécnica (Poli);Engenharia de Produção;2° ano;0;Finanças;Sim;26;1
2018.2;18/10/2018 20:48:17;90;M;Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH);Letras;1° ano;0;Desenvolvedor;Não;0;0
2018.2;18/10/2018 21:17:39;91;F;Escola de Comunicações e Artes (ECA);Biblioteconomia;3° ano;0;Desenvolvedor, Designer;Não;0;1
2018.2;18/10/2018 21:23:26;92;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;1;Finanças;Não;0;0
2018.2;18/10/2018 21:52:57;93;M;Escola de Engenharia de São Carlos (EESC);Engenharia da Computação;1° ano;1;Desenvolvedor;Sim;18;1
2018.2;18/10/2018 22:08:12;94;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;5;Desenvolvedor;Não;0;0
2018.2;18/10/2018 22:10:05;95;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;1° ano;0;Cientista de Dados;Não;0;0
2018.2;18/10/2018 22:10:16;96;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Cientista de Dados;Não;0;1
