Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,University,TeamSize
24/07/2016 21:06:18,541,N,M,Não USP,,,5,Empreendedor/Negócios,Não,,0,UFF,1
24/07/2016 21:06:21,161,N,M,IFSC,Física Computacional,Pós-graduação,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:06:24,220,N,M,EACH,Pós-graduação em Sistemas de Informação,Pós-graduação,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:06:26,209,N,F,Não USP,,,0,Desenvolvedor,Não,,0,UFSCar ,1
24/07/2016 21:06:26,475,S,M,Não USP,,,0,Desenvolvedor,Não,,0,Fatec,1
24/07/2016 21:06:28,61,N,M,Não USP,,,1,Desenvolvedor,Não,,0,Universidade Presbiteriana Mackenzie,1
24/07/2016 21:06:33,241,S,M,Poli,Engenharia Mecânica,1,0,Desenvolvedor/Negócios,Sim,"51, 241, 519",56,,3
24/07/2016 21:06:36,249,N,F,Não USP,,,0,Designer,Não,,0,Centro Universitario Senac,1
24/07/2016 21:06:39,112,S,M,Poli,Engenharia Elétrica,2,1,Empreendedor/Negócios,Sim,"112, 197,341, 364",7,,4
24/07/2016 21:06:40,428,N,M,FEA,Pós-graduação em Economia ,Pós-graduação,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:06:48,6,N,M,Não USP,,,0,Desenvolvedor,Sim,"6, 272",58,Universidade Presbiteriana Mackenzie,2
24/07/2016 21:06:54,133,N,M,EACH,Bacharelado em Sistemas de Informação,5,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:06:58,332,S,M,IME,Bacharelado em Ciência da Computação,2,2,Desenvolvedor,Sim,"332, 342, 511, 513",47,,4
24/07/2016 21:06:58,449,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,ESPM,1
24/07/2016 21:07:03,417,N,M,FEA,Bacharelado em Administração,4,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:07:03,456,N,M,EACH,Gestão de Políticas Públicas,2,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:07:09,404,N,F,Não USP,,,0,Empreendedor/Negócios,Sim,"59, 400, 404, 534",57,FGV,4
24/07/2016 21:07:17,292,N,F,EACH,Bacharelado em Sistemas de Informação,2,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:07:31,125,N,M,Poli,Engenharia Mecânica,Pós-graduação,1,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:07:32,16,N,F,FEA,,4,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:07:32,420,N,M,FEA,Bacharelado em Administração,1,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:07:36,23,N,M,EACH,Pós-graduação em Marketing,Pós-graduação,0,Marketing,Não,,0,,1
24/07/2016 21:07:39,62,N,M,Poli,Engenharia Civil,5,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:07:41,473,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,Strong ESAGS,1
24/07/2016 21:07:42,21,N,M,IME,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Sim,"21, 215, 231, 393",25,,4
24/07/2016 21:07:42,154,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UFABC,1
24/07/2016 21:07:43,479,N,M,Não USP,,,0,Desenvolvedor,Não,,0,PUC-Campinas,1
24/07/2016 21:07:45,221,N,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:07:59,148,N,M,ICMC,Bacharelado em Estatística,1,2,Desenvolvedor,Não,,0,,1
24/07/2016 21:08:07,103,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:08:08,461,N,M,IME,Pós-graduação em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:08:09,117,N,M,Não USP,,,2,Desenvolvedor,Não,,0,Fatec,1
24/07/2016 21:08:16,10,N,F,FEA-RP,Bacharelado em Administração,2,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:08:16,497,N,F,ICMC,Bacharelado em Ciência da Computação,5,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:08:27,284,S,F,EACH,Bacharelado em Sistemas de Informação,3,0,Desenvolvedor,Sim,"212, 284, 387, 447",28,,4
24/07/2016 21:08:34,306,S,M,Não USP,,,0,Desenvolvedor,Sim,"131, 237, 306",10,Universidade Anhembi Morumbi,3
24/07/2016 21:08:52,149,N,M,ICMC,Pós-graduação em Ciência da Computação,Pós-graduação,5,Desenvolvedor,Sim,"149, 283",16,,2
24/07/2016 21:08:54,89,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,IBMEC,1
24/07/2016 21:08:58,283,N,M,ICMC,Pós-graduação em Ciência da Computação,Pós-graduação,2,Desenvolvedor,Sim,"149, 283",16,,2
24/07/2016 21:09:16,236,N,M,Não USP,,,1,Designer,Não,,0,PUC,1
24/07/2016 21:09:20,526,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:09:23,421,N,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:09:27,538,S,F,Não USP,,,0,Empreendedor/Negócios,Não,,0,Universidade Presbiteriana Mackenzie,1
24/07/2016 21:09:34,140,N,F,Não USP,,,0,Desenvolvedor,Não,,0,IFSP,1
24/07/2016 21:09:39,469,N,M,FEA,Economia,2,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:09:43,447,S,F,EACH,Bacharelado em Sistemas de Informação,3,0,Desenvolvedor,Sim,"212, 284, 387, 447",28,,4
24/07/2016 21:09:48,282,S,F,ECA,Publicidade e Propaganda,4,0,Comunicação/Publicidade,Não,"36, 185, 282, 484",50,,4
24/07/2016 21:09:52,104,N,M,Poli,Engenharia da Computação,4,0,Desenvolvedor,Sim,"104, 218, 317, 352",4,,4
24/07/2016 21:09:54,108,N,F,Não USP,,,2,Mentoria,Não,,0,Universidade Presbiteriana Mackenzie,1
24/07/2016 21:09:58,98,N,F,Não USP,,,2,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:10:03,212,S,F,EACH,Bacharelado em Sistemas de Informação,3,0,Desenvolvedor,Sim,"212, 284, 387, 447",28,,4
24/07/2016 21:10:05,68,N,M,Não USP,,,0,Desenvolvedor,Não,,0,FSA (Fundação Santo André),1
24/07/2016 21:10:12,477,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,FECAP,1
24/07/2016 21:10:24,391,N,M,Poli,Engenharia da Computação,3,0,Desenvolvedor,Não,"170, 238, 384, 391",21,,4
24/07/2016 21:10:24,123,N,M,Não USP,,,5,Desenvolvedor,Não,,0,PUC,1
24/07/2016 21:10:25,314,S,F,Não USP,,,0,Designer,Não,,0,IED,1
24/07/2016 21:10:55,242,N,M,FFLCH,Filosofia,2,0,Desenvolvedor,Sim,,0,,1
24/07/2016 21:10:57,134,N,M,IF,Física,2,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:10:59,152,N,M,ICMC,Pós-graduação em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Sim,"152, 193, 542",17,,3
24/07/2016 21:10:59,400,N,M,IME,Curso de Ciências Moleculares,2,0,Desenvolvedor,Sim,"59, 400, 404, 534",57,,4
24/07/2016 21:11:06,459,S,M,Poli,Engenharia Elétrica,5,0,Desenvolvedor,Não,"1, 156, 269, 459",1,,4
24/07/2016 21:11:12,193,N,M,ICMC,Pós-graduação em Ciência da Computação,Pós-graduação,0,Pesquisador,Sim,"152, 193, 542",17,,3
24/07/2016 21:11:19,406,S,F,FAU,Bacharelado em Design,5,2,Designer,Não,,0,,1
24/07/2016 21:11:48,121,N,M,IME,Bacharelado em Ciência da Computação,4,5,Desenvolvedor,Não,,0,,1
24/07/2016 21:11:49,432,N,M,Poli,Engenharia Naval,4,1,Desenvolvedor,Sim,"275, 432",40,,2
24/07/2016 21:12:20,259,N,M,FEA,Pós-graduação em Administração,Pós-graduação,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:12:28,313,S,F,Poli,Engenharia Elétrica,1,0,Engenharia,Sim,"18, 250, 313, 340",23,,4
24/07/2016 21:12:34,299,N,F,Não USP,,,0,Empreendedor/Negócios,Não,,0,ESPM,1
24/07/2016 21:12:39,418,S,M,Não USP,,,0,Desenvolvedor,Não,,0,Uninove,1
24/07/2016 21:12:41,384,N,M,Poli,Engenharia da Computação,3,0,Desenvolvedor,Sim,"170, 238, 384, 391",21,,4
24/07/2016 21:13:09,184,N,M,Não USP,,,2,Desenvolvedor,Não,,0,PUC,1
24/07/2016 21:13:15,517,N,M,Poli,Pós-graduação em Tecnologia e Gestão na Produção de Edificios,Pós-graduação,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:13:37,340,S,M,Poli,Engenharia Elétrica,1,0,Engenharia,Sim,"18, 250, 313, 340",23,,4
24/07/2016 21:13:41,167,N,M,Poli,Engenharia da Computação,5,1,Cientista de Dados,Não,,0,,1
24/07/2016 21:13:47,245,N,M,Não USP,,,0,Desenvolvedor,Não,,0,Estácio de Sá,1
24/07/2016 21:13:48,465,N,M,Não USP,,,2,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:14:10,460,N,M,Não USP,,,2,Empreendedor/Negócios,Não,,0,ESPM,1
