Datetime,Edition,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
18/10/2017 23:35:09,2017.2,101,N,M,Poli,MBA em IoT,Pós-graduação,2,Desenvolvedor,Sim,,0,1
19/10/2017 00:04:02,2017.2,100,N,M,Poli,Engenharia de Computação ,2,0,Desenvolvedor,Sim,"100, 116",3,2
19/10/2017 08:19:27,2017.2,104,N,M,Poli,Engenharia Mecatrônica,3,0,Negócios,Não,,0,1
19/10/2017 09:44:40,2017.2,52,N,M,Poli,Engenharia Elétrica,1,0,Nenhuma,Não,,0,1
19/10/2017 18:26:48,2017.2,40,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"40, 162",17,2
20/10/2017 14:26:15,2017.2,78,S,M,Poli,Mestrado em Engenharia Elétrica,Pós-graduação,1,Negócios,Não,,0,1
21/10/2017 10:01:15,2017.2,82,S,M,Poli,Bacharelado em Engenharia Civil,4,0,Desenvolvedor,Sim,"53, 58, 82, 141",24,4
25/10/2017 20:37:54,2017.2,36,S,F,Poli,Engenharia,4,1,Desenvolvedor,Sim,,0,1
18/10/2017 21:03:22,2017.2,162,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"40, 162",17,2
18/10/2017 21:11:45,2017.2,118,S,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"62, 118, 123",27,3
19/10/2017 00:32:21,2017.2,116,N,M,Poli,Engenharia de Computação ,2,0,Desenvolvedor,Sim,"100, 116",3,2
21/10/2017 15:14:16,2017.2,11,N,M,Poli,Engenharia Mecânica,2,0,Desenvolvedor,Não,,0,1
21/10/2017 16:15:11,2017.2,138,N,M,Poli,Engenharia Elétrica,3,2,Desenvolvedor,Não,,0,1
10/11/2017 10:44:29,2017.2,64,N,M,FD,Direito,3,0,Negócios,Não,,0,1
18/10/2017 21:06:31,2017.2,1,S,M,FEA,Bacharelado em Economia,5,0,Negócios,Sim,"1, 12, 149",1,3
18/10/2017 21:49:55,2017.2,156,S,M,FEA,Bacharelado em Economia ,1,0,Negócios,Não,,0,1
18/10/2017 23:20:17,2017.2,117,N,M,FEA,Bacharelado em Administração,1,0,Negócios,Não,,0,1
19/10/2017 10:59:04,2017.2,12,S,M,FEA,Contabilidade,4,0,Negócios,Sim,"1, 12, 149",1,3
18/10/2017 21:01:56,2017.2,149,S,F,FEA-RP,Bacharelado em Economia,5,0,Negócios,Sim,"1, 12, 149",1,3
18/10/2017 21:07:32,2017.2,55,S,M,FEA-RP,Bacharelado em Administração,5,1,Negócios,Sim,"55, 124",25,2
18/10/2017 21:08:08,2017.2,77,S,F,FEA-RP,Economia Empresarial e Controladoria,2,0,Negócios,Sim,"77, 151",29,2
